trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,long,1672931080,1672931800,1833.4,1831.16,1843.79,0.44,sl_hit,-98.56,-0.56,0.0,-99.12,-1.0,1843.79,-1,DOL,0.0
2,XAUUSD,short,1673017300,1673017360,1850.15,1852.91,1840.83,0.35,sl_hit,-96.6,-0.45,0.0,-97.05,-1.0,1840.83,1,DOL,0.0
3,XAUUSD,short,1673276140,1673298000,1878.62,1881.76,1868.11,0.31,forced_eod,231.57,-0.41,0.0,231.16,2.3789808917196056,1880.96,1,DOL,0.0
4,XAUUSD,short,1673361940,1673361959,1877.75,1880.18,1877.3,0.41,tp_hit,18.45,-0.54,0.0,17.91,0.18518518518519905,0.0,0,DOL,0.0
5,XAUUSD,long,1673449120,1673451460,1872.99,1870.4,1886.62,0.38,sl_hit,-98.42,-0.5,0.0,-98.92,-1.0,1872.02,-1,DOL,0.0
6,XAUUSD,short,1673622340,1673622520,1910.24,1913.39,1909.63,0.31,tp_hit,18.91,-0.41,0.0,18.5,0.1936507936507563,1909.63,1,DOL,0.0
7,XAUUSD,short,1674051220,1674051340,1923.66,1924.8,1915.89,0.87,sl_hit,-99.18,-1.17,0.0,-100.35000000000001,-1.0,1915.89,1,DOL,0.0
8,XAUUSD,short,1674139180,1674140560,1916.61,1918.27,1900.94,0.59,sl_hit,-97.94,-0.79,0.0,-98.73,-1.0,1916.75,1,DOL,0.0
9,XAUUSD,long,1674223540,1674225100,1925.05,1923.16,1937.51,0.51,sl_hit,-96.39,-0.69,0.0,-97.08,-1.0,1923.66,-1,DOL,0.0
10,XAUUSD,long,1674570080,1674570440,1928.5,1927.4,1930.79,0.87,tp_hit,199.23,-1.18,0.0,198.04999999999998,2.081818181818321,1930.79,-1,DOL,0.0
11,XAUUSD,long,1674747040,1674747400,1931.99,1929.25,1933.87,0.36,sl_hit,-98.64,-0.49,0.0,-99.13,-1.0,1933.87,-1,DOL,0.0
12,XAUUSD,short,1675179220,1675179640,1925.04,1927.71,1902.6,0.36,sl_hit,-96.12,-0.49,0.0,-96.61,-1.0,1927.36,1,DOL,0.0
13,XAUUSD,short,1675260460,1675260479,1929.18,1930.09,1923.23,1.06,sl_hit,-96.46,-1.43,0.0,-97.89,-1.0,0.0,0,DOL,0.0
14,XAUUSD,long,1675346720,1675348480,1944.84,1942.82,1951.22,0.47,sl_hit,-94.94,-0.64,0.0,-95.58,-1.0,1951.22,-1,DOL,0.0
